Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
45,P,Miguel Gonzalez\gonzami03,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Nate Jones\jonesna01,32,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Michael Kopech\kopecmi01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Juan Minaya\minayju01,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Danny Farquhar\farquda01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Jace Fry*\fryja01,24,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Tyler Danish\danisty01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,26.5,162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,.241,.302,.401,.703,93,2217,99,66,24,32,18
,,Rank in 15 AL teams,,,,5,12,11,12,2,10,,5,14,14,15,12,13,12,12,,11,,8,,15,
,,Non-Pitcher Totals,26.5,162,6050,5503,656,1331,259,40,182,639,98,41,425,1581,.242,.302,.403,.705,93,2216,98,66,23,32,18
,,Pitcher Totals,25.8,162,21,20,0,1,0,0,0,0,0,0,0,13,.050,.050,.050,.100,-72,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
* - bats left-handed, # - bats both, else - bats right, ? - unknown; OPS_lg for OPS+ does not include pitchers.,,,,,,,,,,,,,,,,,,,,,,,,
